player,position,team,age,club,birth_year,description,image
Hwang Ui-jo,FW,Korea Republic,30,Olympiacos,1992,Hwang Ui-jo is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Héctor Herrera,MF,Mexico,32,Houston Dynamo,1990,Héctor Herrera is a midfielder known for his passing accuracy and ball-winning abilities. He provides stability to the midfield and contributes to both defense and attack.,"https://digitalhub.fifa.com/transform/cb8a2537-555d-46af-bc00-4c9a24955a0d/1442571030?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Héctor Moreno,DF,Mexico,34,Monterrey,1988,Héctor Moreno is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,
Ibrahima Konaté,DF,France,23,Liverpool,1999,Ibrahima Konaté is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/5aff5d26-7b00-460a-addf-eef5267398bc/1442233694?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Idrissa Gana Gueye,MF,Senegal,33,Everton,1989,Idrissa Gana Gueye is a midfielder known for his ball-winning abilities and defensive presence. He provides stability to the midfield and contributes to both defense and counter-attacks.,"https://digitalhub.fifa.com/transform/eec40484-d0a0-48cb-bd21-3b9fb90a0e00/1442261952?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Anass Zaroury,FW,Morocco,22,Burnley,2000,Anass Zaroury is a versatile player known for his adaptability in different positions. His tactical intelligence and versatility make him a valuable asset in various roles on the field.,"https://digitalhub.fifa.com/transform/c3f43b99-70ce-4612-a1dc-dcbc02aaed58/1442764041?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Iliman Ndiaye,FW,Senegal,22,Sheffield Utd,2000,Iliman Ndiaye is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Ismail Jakobs,DF,Senegal,23,Monaco,1999,Ismail Jakobs is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Ismail Mohamad,FW,Qatar,32,Al Duhail SC,1990,Ismail Mohamad is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/5ff850f8-8d19-447b-a994-5341cfa2ce9f/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ismaila Sarr,FW,Senegal,24,Watford,1998,"Ismaila Sarr is a winger known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/83ae78c2-a5e4-4ec5-ad5a-588a127bfdd3/1442261894?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ismaël Koné,MF,Canada,20,CF Montréal,2002,Ismaël Koné is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Issam Jebali,FW,Tunisia,30,Odense,1991,Issam Jebali is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Ivan Ilić,MF,Serbia,21,Hellas Verona,2001,Ivan Ilić is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Ivan Perišić,FW,Croatia,33,Tottenham,1989,"Ivan Perišić is a winger known for his speed, dribbling ability, and versatility. He contributes to both offensive and defensive phases, making him a key player for his club and the national team.","https://digitalhub.fifa.com/transform/b042c04a-b2b3-4b61-b141-96df26e5c58f/1442835074?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Iñaki Williams,FW,Ghana,28,Athletic Club,1994,"Iñaki Williams is a forward known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.",
Jack Grealish,FW,England,27,Manchester City,1995,"Jack Grealish is a versatile forward known for his technical skills, creativity, and playmaking abilities. He can operate in various attacking positions, contributing to his team's offensive movements.","https://digitalhub.fifa.com/transform/c5fc5a56-6169-418f-828a-f5482b36a21a/1441945587?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jackson Irvine,MF,Australia,29,St. Pauli,1993,Jackson Irvine is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/d15198f9-9f27-4e0b-91cb-8fcb5948d5eb/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jackson Porozo,DF,Ecuador,22,Troyes,2000,Jackson Porozo is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Jakub Kamiński,MF,Poland,20,Wolfsburg,2002,Jakub Kamiński is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Jakub Kiwior,DF,Poland,22,Spezia,2000,Jakub Kiwior is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Jamal Musiala,MF,Germany,19,Bayern Munich,2003,"Jamal Musiala is a versatile midfielder known for his technical skills and creativity. He contributes to ball circulation and playmaking, creating scoring opportunities for his team.","https://digitalhub.fifa.com/transform/f0d37884-cf42-46d5-8a6c-7690e9d93f87/1442304032?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jamie Maclaren,FW,Australia,29,Melb City,1993,Jamie Maclaren is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/77a5e61b-3474-4661-bbe2-6c0cbf0f531e/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jan Bednarek,DF,Poland,26,Aston Villa,1996,Jan Bednarek is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Jan Vertonghen,DF,Belgium,35,Anderlecht,1987,Jan Vertonghen is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/eb24f201-91f8-4594-824a-fc79d3d847ed/1442831389?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jason Cummings,FW,Australia,27,Central Coast,1995,Jason Cummings is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/84466127-5974-490c-8d16-cf3213afd35b/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Hakim Ziyech,FW,Morocco,29,Chelsea,1993,"Hakim Ziyech is a versatile forward known for his technical skills, creativity, and playmaking abilities. He contributes to both ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/96ff445c-211f-4bc3-b0d8-cc6bb5777982/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jean-Charles Castelletto,DF,Cameroon,27,Nantes,1995,Jean-Charles Castelletto is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/91286cbe-9c39-4225-a5eb-1754137ff097/1443093839?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jeong Woo-yeong,MF,Korea Republic,23,Freiburg,1999,"Jeong Woo-yeong is a versatile forward known for his technical skills and creativity. He can operate in various attacking positions, contributing to his team's offensive movements.",
Jeremy Doku,MF,Belgium,20,Rennes,2002,"Jeremy Doku is a winger known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/8a88ac1d-c80c-4983-9315-31367b35548a/1442830967?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jeremy Sarmiento,MF,Ecuador,20,Brighton,2002,"Jeremy Sarmiento is a winger known for his speed, dribbling ability, and creativity. He contributes to his team's offensive movements with his flair and agility.",
Jesper Lindstrøm,MF,Denmark,22,Eint Frankfurt,2000,Jesper Lindstrøm is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Jesús Ferreira,FW,United States,21,FC Dallas,2000,Jesús Ferreira is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Jesús Gallardo,DF,Mexico,28,Monterrey,1994,Jesús Gallardo is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Jewison Bennette,MF,Costa Rica,18,Sunderland,2004,Jewison Bennette is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Jhegson Méndez,MF,Ecuador,25,Los Angeles FC,1997,Jhegson Méndez is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Joachim Andersen,DF,Denmark,26,Crystal Palace,1996,Joachim Andersen is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,
Joakim Mæhle,DF,Denmark,25,Atalanta,1997,"Joakim Mæhle is a right-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.",
Joe Allen,MF,Wales,32,Swansea City,1990,Joe Allen is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Joe Morrell,MF,Wales,25,Portsmouth,1997,Joe Morrell is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Joe Rodon,DF,Wales,25,Rennes,1997,Joe Rodon is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Joel Campbell,FW,Costa Rica,30,León,1992,Joel Campbell is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Johan Venegas,FW,Costa Rica,34,Liga Deportiva Alajuelense,1988,Johan Venegas is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
John Stones,DF,England,28,Manchester City,1994,John Stones is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/ca3de608-1c2c-489c-a6e0-1a5283372307/1441945288?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jonas Hofmann,FW,Germany,30,M'Gladbach,1992,Jonas Hofmann is a midfielder known for his passing accuracy and playmaking abilities. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/86a9357f-07c7-402c-b93f-4c40fe033ec5/1442303962?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Jonathan David,FW,Canada,22,Lille,2000,Jonathan David is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Jonathan Osorio,MF,Canada,30,Toronto FC,1992,Jonathan Osorio is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Jordan Ayew,FW,Ghana,31,Crystal Palace,1991,Jordan Ayew is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
